ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label
185,Sharpening knives,Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood.,he,Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. he,"['uses a small brush to polish one of the stone pieces.', 'then uses a strip of sealing tape to seal the board and then smooths the bottom of the board.', 'walks towards the camera.', 'then takes the knife and sharpens it against the wood piece.']",activitynet~v_0bosp4-pyTM,val,zeroshot,3
186,Sharpening knives,The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece.,he,The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece. he,"['then cuts off the excess hair of the wood.', 'scrapes the wood with a broom in the cutting tool used in sharpening the instrument.', 'writes on the board again.', 'then notices a little black and green poisonous frog sitting next to him.']",activitynet~v_0bosp4-pyTM,val,zeroshot,3
187,Sharpening knives,He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him.,the frog,He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. the frog,"['eventually gets to get up and marches out of the room waving its body about.', 'then starts to get up from the chair and begins walking towards the camera.', 'then escapes and jumps away.', 'is acting crazy and attacking him while he is cooking.']",activitynet~v_0bosp4-pyTM,val,zeroshot,2
188,Sharpening knives,He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away.,he,He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. he,"['sits and hugs another man and also adjusts his camera.', 'then sits there staring at his text machine as if he has actually been given a gift from god.', 'explains how the frog secretes a poisonous fluid that can be extremely harmful.', 'takes the frog on his hand and tickles the back of it.']",activitynet~v_0bosp4-pyTM,val,zeroshot,2
192,Playing bagpipes,A person is playing bagpipes out in a park. A man and two boys watching from a far.,the camera,A person is playing bagpipes out in a park. A man and two boys watching from a far. the camera,"['shoots areas all around the park while the bagpipes play.', 'is covered to the boy that is playing there.', 'then goes black and we see a black opening scene.', 'watching the boy and boy as they play a game of drums.']",activitynet~v_0dgmG3h9RLA,val,indomain,0
200,Playing water polo,Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera.,the man,Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera. the man,"['dips the ball and walks back with the boy and pours detergent into a cup again.', 'then throws the ball into the pool and begins running around with a sail in his hand while a group of men watch.', 'then takes a drink having a conversation with another man and another man leads into him throwing balls in the water and laughing to the camera.', 'demonstrates how to properly throw the ball with his hands while still speaking to the camera.']",activitynet~v_0hWGSkDnRHA,val,indomain,3
225,Having an ice cream,A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats.,she,A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. she,"['is then seen sitting alone as she eats a cold brown ice cream.', 'pauses in the process of eating to enjoy her food.', 'stands up and grabs her purse, continuing to talk and laugh as she leaves.', 'picks up another chocolate bar and chews it as she talks.']",activitynet~v_15vwVfNA99o,val,zeroshot,2
245,Cheerleading,A group of cheerleaders run onto a stage before a cheering audience.,they,A group of cheerleaders run onto a stage before a cheering audience. they,"['get into formation, then begin dancing and flipping as male cheerleaders join them.', 'perform a cheer routine before the girls, along with makeup artists, spread out and pose.', 'take turns jumping on each other like they are performing karate.', 'are then shown performing the type of cheerleading dance, using batons and pole vaults.']",activitynet~v_1AZxtWKkRlo,val,indomain,0
246,Cheerleading,"A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them.",they all,"A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. they all","['dance and flip on stage while hanging their hats on the sides.', 'continue dancing and flipping, doing hand springs.', 'dance together with flip up their sleeves.', 'perform their routines as the studio rashes to a halt with cheerleaders in the audience.']",activitynet~v_1AZxtWKkRlo,val,indomain,1
247,Cheerleading,"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs.",when they,"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. when they","[""are done, they shake hands and walk away, but cheers are heard all around as they're finished."", 'are finished, they jump up and down happily and walk off the stage, exhausted.', 'are done, a male cheerleader is crowned and an instant replay is shown.', 'come down from their workout, they all stop to bow and applaud, then they continue dancing.']",activitynet~v_1AZxtWKkRlo,val,indomain,1
282,Sharpening knives,A woman is reading a newspaper nearby while he speaks to her and shows her something in his hand. The man sharpens his knives using an electric tool.,he,A woman is reading a newspaper nearby while he speaks to her and shows her something in his hand. The man sharpens his knives using an electric tool. he,"['sharpens and cuts something on a knife board using an electric tool.', 'then continues cutting his onion.', 'travels with his knife under the table and uses it also in his shoe.', 'then shows her a spare knife that he has also used on a knife sharpener and drills into a side of the table.']",activitynet~v_1dM62Xpm9Ns,val,zeroshot,1
354,Cutting the grass,A man is outside of a building. He is using commercial lawn mowing equipment.,he,A man is outside of a building. He is using commercial lawn mowing equipment. he,"['walks back and forth as he mows the grass.', 'is animated as he does the task.', 'relaxes, making sure his lawn is pristine.', 'runs from one side of the building to the other.']",activitynet~v_2eep4G5Tgho,val,zeroshot,0
378,Having an ice cream,Children bring desert out for their family member.,the family,Children bring desert out for their family member. the family,"['floats in a river.', 'member stands looking into a hut and then handing people photographs.', 'member cuts a piece of sunscreen.', 'enjoys eating the desert together.']",activitynet~v_2rA5pyel_NE,val,zeroshot,3
380,Having an ice cream,The family enjoys eating the desert together. The people in the restaurant laugh at the man and he wonders what they are doing.,the man,The family enjoys eating the desert together. The people in the restaurant laugh at the man and he wonders what they are doing. the man,"[""goes to the bathroom and isn't able to get very far."", 'puts the glass aside and a fourth person walks in and walks away.', 'plays the bagpipe and smiles and laughs as he enjoys the hospitality.', 'gets up and walks away to the other room.']",activitynet~v_2rA5pyel_NE,val,zeroshot,3
385,Washing face,A black female is shown in a room with a black scarf around her head.,black spots on her faced,A black female is shown in a room with a black scarf around her head. black spots on her faced,"['are then zoomed in on and she begins to apply something on it.', 'are shown and she misses a little bit of her swing.', 'are shown and one finger is seen poking through.', 'are shown as she continues to dance around on the hardwood and every move makes a lash on her face.']",activitynet~v_33SI8z8PovA,val,zeroshot,0
386,Washing face,A black female is shown in a room with a black scarf around her head. Black spots on her faced are then zoomed in on and she begins to apply something on it.,next,A black female is shown in a room with a black scarf around her head. Black spots on her faced are then zoomed in on and she begins to apply something on it. next,"[', she begins to brush her lips and make painted lips look just like a lipstick to the camera and ends with her closing gift and instruction showing her off at the end.', 'she is shown in various different locations and gets extremely close to a wall.', ', she is shown making multiple moans and sprays some kind of liquid down her face before hanging up.', ', she takes some spray and it makes her skin extremely oily and she continues to talk until the video is over.']",activitynet~v_33SI8z8PovA,val,zeroshot,3
393,Paintball,A helicopter flies in some people who then start playing paintball.,they,A helicopter flies in some people who then start playing paintball. they,"['run around obstacles and have a great time.', 'lose their shirt during the fight and run back the others.', 'shoot at each other while the helicopter drone who am looking on.', 'chase a bird in the sky while others walk around.']",activitynet~v_3EuY86B4uTo,val,indomain,0
398,Gargling mouthwash,A young boy and girl are standing over a sink with their mother talking.,the mother,A young boy and girl are standing over a sink with their mother talking. the mother,"[""is now putting lipstick on the boy's mouth and he tries to stop her but only gets a little bit stuck."", 'washes the boy while the child grabs shampoo.', 'shows some shaving cream on the boy who is scrubbing her brushes.', 'instructs them on how to brush their teeth while laughing.']",activitynet~v_3HBAcaU552I,val,zeroshot,3
399,Gargling mouthwash,A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth while laughing.,the boy,A young boy and girl are standing over a sink with their mother talking. The mother instructs them on how to brush their teeth while laughing. the boy,"['puts a shirt on and rubs his mouth.', 'helps his younger sister brush his teeth.', 'walks with an empty mouthwash cup on a sink floor.', 'and girl then begin working out.']",activitynet~v_3HBAcaU552I,val,zeroshot,1
400,Gargling mouthwash,The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth.,she,The mother instructs them on how to brush their teeth while laughing. The boy helps his younger sister brush his teeth. she,"['shows how to hit the mom and then kiss his dad as well.', 'brushes past the camera, looking better soon after.', 'glows from the center of the camera as a reaction.', 'gets them some water to gargle in their mouths.']",activitynet~v_3HBAcaU552I,val,zeroshot,3
402,Gargling mouthwash,She gets them some water to gargle in their mouths. The boy and girl begin playing in the sink.,the woman,She gets them some water to gargle in their mouths. The boy and girl begin playing in the sink. the woman,"['shakes her head in disbelief and waves at her.', 'laughs at the children dribbling water.', 'comes back and talks to the boys.', 'gets some food out of the fridge and they continue playing together.']",activitynet~v_3HBAcaU552I,val,zeroshot,1
478,Washing face,A cat is sitting in a cat bed. It is licking its paw.,it,A cat is sitting in a cat bed. It is licking its paw. it,"['then wipes its paw on its ear.', 'crawls to the door.', ""'s laying down about six inches away from the camera."", 'crawls on one foot to get closer to the camera.']",activitynet~v_4U13LEMIdi4,val,zeroshot,0
479,Archery,"A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, he fired his bows several times.",the man,"A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, he fired his bows several times. the man","['played paper if and shoot the arrows to hit the target, then he hang from the board with his bow and arrow.', 'went to the target board and talked to the camera.', 'eventually throw the arrow, but it flew into the gravel is near the targets.', 'have his bow as he talk to the camera, he pulled it out to show how to put with its flex, tighten, and notch that was attached to his bow.']",activitynet~v_4Xvn1xXvYdU,val,indomain,1
491,Cutting the grass,A man walks outside plugs his lawn mower in and gets ready to mow.,he,A man walks outside plugs his lawn mower in and gets ready to mow. he,"['drives through the grass while drinking from a large cup of water and carrying his lawn mower.', 'walks off the porch and goes back inside.', 'starts mowing his lawn casually going over all the grass.', 'does this multiple times until a pale orange moon appears overhead.']",activitynet~v_4ksF9BUdQJM,val,zeroshot,2
492,Cutting the grass,A man walks outside plugs his lawn mower in and gets ready to mow. He starts mowing his lawn casually going over all the grass.,his dog,A man walks outside plugs his lawn mower in and gets ready to mow. He starts mowing his lawn casually going over all the grass. his dog,"[""comes outside and starts to follow him a little while he's closer to the house."", 'comes outside and takes a closer look at the man mowing, after he picks up the mower.', 'runs loose and feeds on his movements.', 'is having a seizure and starts to hop all over the lawn as he walks around.']",activitynet~v_4ksF9BUdQJM,val,zeroshot,0
493,Cutting the grass,He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house.,the yard,He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. the yard,"['is slowly starting to look really really nice, once he is completely finished the yard looks great, nice and smooth.', 'is very neat and clean and very active under the circumstances.', 'gets mowed quicker by the dog.', 'eventually looks happy on the outside and appears to be going pretty happily.']",activitynet~v_4ksF9BUdQJM,val,zeroshot,0
503,Surfing,A sea is shown with a green forest on seashore. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea.,man,A sea is shown with a green forest on seashore. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea. man,"['is on ocean and swimming in white water snapping his head.', 'is snowboarding up in the sea.', 'is doing flips in the waters and on the rocks and he be water surfing.', 'is walking on seashore through a lot of people and talking to the camera and holding an award and talking about surfing the seashore.']",activitynet~v_4uwtqRBE4Kk,val,indomain,3
527,Washing face,We see a bottle of face wash.,we,We see a bottle of face wash. we,"['see a newspaper story.', 'see four cookies in a pan.', 'see a person holding face wash then putting it on their face.', 'see a tool on a table.']",activitynet~v_5BuDj1xkpiI,val,zeroshot,2
529,Washing face,We see a person holding face wash then putting it on their face. They rinse the face and add the face wash with a brush.,we,We see a person holding face wash then putting it on their face. They rinse the face and add the face wash with a brush. we,"['see a closing title screen.', 'see a black screen with the credits.', 'see an illustration on how to add the wash using a brush.', 'then see a replay then the person putting the face wash on.']",activitynet~v_5BuDj1xkpiI,val,zeroshot,2
560,Plastering,A person is seen throwing plaster onto a wall while the camera follows the person close behind.,the person,A person is seen throwing plaster onto a wall while the camera follows the person close behind. the person,"['continues throwing ingredients down and leads into a person kicking a dirty toilet.', 'gradually throws more and more onto the wall and the camera pans over the finished product.', 'then uses paper to spread it all over the wall followed by others putting paper through with the plaster.', 'is now seen putting wax all along the wall while still looking back to the camera.']",activitynet~v_5SzzJMuyC_M,val,indomain,1
586,Applying sunscreen,More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in effort to protect their skin.,a small blue bottle of the sun screen,More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in effort to protect their skin. a small blue bottle of the sun screen,"['appears and then different people carry it to a table where they mix the liquid with a straw with a straw and take turns squirting the liquid into their skin.', 'appears near each of their hair as they continue to talk but no bottle at all appear.', 'is then shown and several more people begin talking about the product.', 'zooms in on sheers that they have on the floor.']",activitynet~v_5gc896my38M,val,indomain,2
604,Beer pong,A group of boys are standing in a room with many clear cups of beer on a table they are all standing around.,the boys,A group of boys are standing in a room with many clear cups of beer on a table they are all standing around. the boys,"['take a flute together and then begin to play the harmonica using it to play the tune.', 'begin to wrap red bow around the plastic cups, put bows on the bottoms _start_various objects on the foam covers and belongings to the floor.', 'talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups.', 'all grab one and chug their contents of the cans.']",activitynet~v_5wkGeYBS7hQ,val,indomain,2
605,Beer pong,"The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups.",one of the ping pongs,"The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups. one of the ping pongs","['is knocked upside down, which causes the other teens to give each other high fives.', 'tries to rise but dikes instead.', 'rush walks up in front of the boys, removes a small piece of paper from the bottom of the table, puts a hand on the machine and wrestles with buttons, turns the machine off and pushes a button inside to turn the game back on.', 'lands in the cup and one of the boys begins to drink the beer.']",activitynet~v_5wkGeYBS7hQ,val,indomain,3
606,Beer pong,One of the ping pongs lands in the cup and one of the boys begins to drink the beer.,the group,One of the ping pongs lands in the cup and one of the boys begins to drink the beer. the group,"['of teens is sailing down the river with others sailing in the background.', 'gets up together and poses with their vests to celebrate.', 'continue to play beer pong when one final player is able to throw and land a ping pong ball while standing with his back to the cups at which point the boys celebrate, and laugh.', 'does a trick and the liquid is poured on a second table.']",activitynet~v_5wkGeYBS7hQ,val,indomain,2
615,Grooming dog,There's a nbc news reporter wearing a red sweater and white shirt talking about dog grooming by scissor wizard a grooming company.,the representative from the company,There's a nbc news reporter wearing a red sweater and white shirt talking about dog grooming by scissor wizard a grooming company. the representative from the company,"['is talking about the services they offer and how those dogs participate in dog shows.', 'speaks to a woman sitting on a colorful conference room chair next to a brown dog kennel in front of them.', 'tells viewers about a dog grooming company, itv with a website.', 'in grey sweater and black pants talks about the procedures on grooming dogs in life and techniques.']",activitynet~v_63Zt34YuyRk,val,indomain,0
616,Grooming dog,The representative from the company is talking about the services they offer and how those dogs participate in dog shows.,a groomer,The representative from the company is talking about the services they offer and how those dogs participate in dog shows. a groomer,"[""is seen using shears to creatively trim the dog's hair and even dye it in colorful shades of red, green, yellow and blue."", 'is presenting cookies to the room with a loaf of bread.', 'shows crowd opinion for use as their garden service representative.', 'speaks to an older man about snow cleaning dogs and showing how it is flectious.']",activitynet~v_63Zt34YuyRk,val,indomain,0
618,Having an ice cream,"A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon.",after,"A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon. after","["", the woman gives ice cream to the child, and then the woman cleans the child's mouth."", ', the child takes out the fork the other child takes out the spoon and eats the ice cream.', ', the child and the woman tries to eat food without ice cream, then they sit and talk with adults in the room.', "", two people wearing red shirts pass through the store's door and inside the market and besides a man and a chimpanzee wearing silver uniforms are watching the woman and child.""]",activitynet~v_674t-jyyKeg,val,zeroshot,0
619,Having an ice cream,"After, the woman gives ice cream to the child, and then the woman cleans the child's mouth.",an old woman,"After, the woman gives ice cream to the child, and then the woman cleans the child's mouth. an old woman","['feeds a boy ice cream.', 'hold the child and eats the ice cream, after the woman is giving baby ice cream to the child.', 'tries to stop the mother pray while giving a baby something else.', 'is standing using a white blower to blow snow.']",activitynet~v_674t-jyyKeg,val,zeroshot,0
689,Clean and jerk,Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men.,a man in a gray shirt,Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men. a man in a gray shirt,"['is watching the men on the ground.', 'hits a big weight in slow motion.', 'is talking to one of the men in the middle of the gym.', 'is mimicking the person lifting the weight.']",activitynet~v_7NMds32-lMc,val,zeroshot,3
708,Grooming dog,In home pet groomers demonstrate how to groom a pet.,the person,In home pet groomers demonstrate how to groom a pet. the person,"['puts a setting engage on the pets tongue and leash.', 'starts at their butt rise, combing out the hair with a brush from a red.', ""is demonstrating how the dog's hair is trimmed with electric shears at their grooming salon."", 'installs and interacts with a sleeping pet before moving away.']",activitynet~v_7n1L0evoi34,val,indomain,2
712,Polishing shoes,A person polish a shoe with a wrapped finger.,then,A person polish a shoe with a wrapped finger. then,"[', the person remove the wrapping paper to expose a shoe.', ', the person removes the heel heel from the shoe and polish.', ', the person grabs polish paste and water to polish the shoe.', ', a person polish the fingers, then the person puts a black polish.']",activitynet~v_7uE2pMuAM8I,val,indomain,2
748,Zumba,"Eight people are standing at the studio, one woman walked at the back of the group.",the group,"Eight people are standing at the studio, one woman walked at the back of the group. the group","['then begins marching down a fitness track, demonstrating steps, going forward and backward, in between takes several breaks to lift their feet.', 'is gathered around a long table into a dance routine.', 'started dancing, swirling, shaking their hips, rotating, their arms and hands are moving from side to side, in front.', 'continue to discuss the topic of volleyball.']",activitynet~v_8EGM3zcvjs8,val,indomain,2
801,Sharpening knives,A man is seen talking to the camera and presents his knife and sharpener. He then glides the knife down the sharpener and shows how other knives work with different sharpeners.,he,A man is seen talking to the camera and presents his knife and sharpener. He then glides the knife down the sharpener and shows how other knives work with different sharpeners. he,"['then repeats his advice and using more wax.', 'shows the using the sharpener on a piece of wood.', 'presents the knife one last time while still speaking to the camera.', 'uses scissors to cut the blade as well as metal and talk to the camera at the end.']",activitynet~v_8z29qtUWwdU,val,zeroshot,2
818,Playing harmonica,A man walks onto the stage to join a band.,a man,A man walks onto the stage to join a band. a man,"['plays harp and flute while two other people play instruments next to him.', 'and woman dance around together on the stage.', 'dance on the ropes attached to the stage.', 'plays up front of a band with a harmonica.']",activitynet~v_99A2KqvfBLI,val,zeroshot,3
819,Playing harmonica,A man walks onto the stage to join a band. A man plays up front of a band with a harmonica.,the keyboardist,A man walks onto the stage to join a band. A man plays up front of a band with a harmonica. the keyboardist,"['plays the hip hop and dance moves with the band.', 'plays a spirited solo during the song.', 'plays his guitar while moving his body around in front of the band.', 'sings with the band, twirling his violin as he walks.']",activitynet~v_99A2KqvfBLI,val,zeroshot,1
854,Running a marathon,A camera pans away from a road and shows a person's feet moving around.,several shots,A camera pans away from a road and shows a person's feet moving around. several shots,"['are shown of people riding up a mountain on skis while being pulled down by a rope.', 'are shown of people tying their shoes, hitting a button, and checking a watch.', 'are shown of people wake boarding.', 'are then shown of people riding on snowboards over mountains.']",activitynet~v_9PvtW0Uvnl0,val,zeroshot,1
855,Running a marathon,"A camera pans away from a road and shows a person's feet moving around. Several shots are shown of people tying their shoes, hitting a button, and checking a watch.",people,"A camera pans away from a road and shows a person's feet moving around. Several shots are shown of people tying their shoes, hitting a button, and checking a watch. people","['march around a room wearing funny hats, hats, and shoes.', 'then are shown washing a car.', 'are then seen running down the road one at a time followed by many more following.', 'walk along a road, using bicycles and bagpipes.']",activitynet~v_9PvtW0Uvnl0,val,zeroshot,2
858,Using the pommel horse,A gymnast put power chalk power on his hands and stands near the pommel horse.,then,A gymnast put power chalk power on his hands and stands near the pommel horse. then,"[', the gymnast put strength and power item on his body and falls.', ', the gymnast approach the pommel horse to spin around many times.', ', the gymnast blade the board and stands in position facing the pommel horse doing blade moves.', ', the gymnast moves around and flips the chalk power to full weight and continues gymnastics for the next competition, after he turns and stands near the pommel horse.']",activitynet~v_9VGxxRNOdbM,val,indomain,1
859,Using the pommel horse,"A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times.",then,"A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times. then","[', the gymnast stand on his hand and jumps to land on the floor, while people applaud.', ', the gymnast put the star light on his hands and jumps high using strength.', ', the gymnast puts fluid on the pommel horse and sit on it to rise the body while position it.', ', the gymnast cross the pommel horse with the long rope while performing handsprings.']",activitynet~v_9VGxxRNOdbM,val,indomain,0
875,Kayaking,A logo shows that this video is presented by expert village.,a man in a small blue boat,A logo shows that this video is presented by expert village. a man in a small blue boat,"['is pushing a kress of water in a lake while instructing his boarder.', 'discusses the topic of hand surfing in a hole and gives hints on how to perform this activity.', ', in the middle of a lake, is skiing.', 'is in the water pushing a boat with a sail.']",activitynet~v_9fnmcyUz5jg,val,indomain,1
876,Kayaking,A man in a small blue boat discusses the topic of hand surfing in a hole and gives hints on how to perform this activity.,the man,A man in a small blue boat discusses the topic of hand surfing in a hole and gives hints on how to perform this activity. the man,"['demonstrates how to properly back up a hand surf by requiring an anchor.', 'demonstrates tricks that can be done while performing this activity.', 'in the small blue boat holds a fish in his hands and then holds the fish while talking about the technique needed to perform this activity.', ""is omic on the water as he's riding the speedo on the aerobic machine still pointing down at the water.""]",activitynet~v_9fnmcyUz5jg,val,indomain,1
883,Playing harmonica,The camera pans to show a man playing a harmonica while sitting on a log beside a river. A woman walks near the train tracks while a train drives by.,the woman,The camera pans to show a man playing a harmonica while sitting on a log beside a river. A woman walks near the train tracks while a train drives by. the woman,"['continues just playing with the tunes she made.', 'sees the harmonica playing man in the distance.', 'taps a horn intermittently as the camera pans right.', 'plays a song on her harmonica while walking away from the train.']",activitynet~v_9mL3eC5iizc,val,zeroshot,1
884,Playing harmonica,A woman walks near the train tracks while a train drives by. The woman sees the harmonica playing man in the distance.,she,A woman walks near the train tracks while a train drives by. The woman sees the harmonica playing man in the distance. she,"['comes back to the train and continues walking on the subway.', 'walks around the rail of the tracks and watches the scenery and the crowds of people.', 'watches him and listens to him playing.', 'begins playing with the harmonica and stops.']",activitynet~v_9mL3eC5iizc,val,zeroshot,2
886,Playing harmonica,The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man.,the man,The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man. the man,"['takes out a wall show from his guitar.', 'finishes playing and remains seated.', 'jumps over a barrier and lands on the sandy beach.', 'plays in a house while the woman looks on.']",activitynet~v_9mL3eC5iizc,val,zeroshot,1
887,Cleaning windows,A person is shown looking around a city and begins washing windows with his tools.,he,A person is shown looking around a city and begins washing windows with his tools. he,"['then brushes right through the window and cleans it off.', 'uses a large block cutter to remove smaller blocks until he has the whole of the window covered.', 'puts water on a hose and begins cleaning the windows.', 'goes up and down the windows at a rapid pace and continues filming himself through the glass.']",activitynet~v_9nh_6Hzg_aw,val,indomain,3
888,Cleaning windows,A person is shown looking around a city and begins washing windows with his tools. He goes up and down the windows at a rapid pace and continues filming himself through the glass.,he,A person is shown looking around a city and begins washing windows with his tools. He goes up and down the windows at a rapid pace and continues filming himself through the glass. he,"['continues to work by scrubbing the windows and then by pouring water out.', 'takes his clothes off and hangs them up before throwing his plaid shirt into the laundry.', 'finishes the glass in record time and turns off the camera.', 'spins around to show the different angles of the board and shows pictures of the house in the end.']",activitynet~v_9nh_6Hzg_aw,val,indomain,2
923,Ice fishing,A man dressed in yellow and black winter clothes ice fishes on a a frozen lake.,the man,A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. the man,"['is reeling in a fish for a long time.', 'spins with his fishing pole in the air.', 'does a trick on his dirty ice fishing line.', 'does numerous tricks as he goes through these beauty course courses of ice covered lakes.']",activitynet~v_9yiXv7Hu5Lw,val,zeroshot,0
